ticker,cls,sign,total,mean_pnl,median_pnl,wins,win_rate,win_rate_lb,pnl_lb,gamma,gamma_n,gamma_mean,gamma_rate,alpha,sigma
HUDI,EXIT04,pos,5,12.821394,9.68159,5,1.0,0.565508505247919,4.996811596678015,,,,,0.03157665953040123,
HUDI,EXIT07,neg,5,1.9674841,2.6830497,4,0.8,0.37552826411853885,-2.6065749570638497,,,,,1.999790370464325,
HUDI,EXIT07,pos,3,19.069696,10.685714,3,1.0,0.4384939195509822,1.3175178953361382,,,,,0.03157665953040123,
HUDI,EXIT18,neg,5,-3.8836434,-1.930234,0,0.0,-3.139202815737979e-17,-6.95652890972542,,,,,1.999790370464325,
HUDI,EXIT18,pos,5,-8.246935,-3.4470558,2,0.4,0.11761823115925325,-21.53624355369537,,,,,0.03157665953040123,
HUDI,EXIT21,neg,2,0.6076974,0.6076974,2,1.0,0.3423719528896193,0.5205270910263061,,,,,1.999790370464325,
HUDI,EXIT21,pos,2,-0.10416794,-0.10416794,0,0.0,0.0,-0.30833709716796875,,,,,0.03157665953040123,
HUDI,PRINT,neg,6,0.71681935,-0.17098343,3,0.5,0.1876128068994087,-2.9164874361283246,,,,,1.999790370464325,
HUDI,PRINT,pos,5,19.0441,15.912851,5,1.0,0.565508505247919,7.416440146151821,,,,,0.03157665953040123,
HUHU,EXIT04,pos,1,-2.250257,-2.250257,0,0.0,0.0,,,,,,2.3799359496479155e-06,
HUHU,PRINT,neg,9,7.2534676,6.2091208,8,0.8888888888888888,0.5649937852319398,3.6724297594397126,0.5,9.0,7.253467082977295,0.8888888888888888,0.11722792685031891,
HUHU,PRINT,pos,4,7.7189517,6.941624,3,0.75,0.30063605244263664,0.3532173305902102,,,,,2.3799359496479155e-06,
HUIZ,EXIT04,neg,5,5.7987914,5.263159,5,1.0,0.565508505247919,0.64429515971276,,,,,1.5625007152557373,
HUIZ,EXIT04,pos,5,12.606236,3.3374612,3,0.6,0.23071993220883702,-3.5676661595606234,,,,,1.5999984741210938,
HUIZ,EXIT07,neg,3,0.50269085,-0.8458371,1,0.3333333333333333,0.061490315276160515,-3.078358819076319,,,,,1.5625007152557373,
HUIZ,EXIT07,pos,3,25.53379,23.421505,3,1.0,0.4384939195509822,10.177708757154724,,,,,1.5999984741210938,
HUIZ,EXIT18,neg,7,-1.3164262,-1.8749981,2,0.2857142857142857,0.08221716570901548,-3.7391027399808947,,,,,1.5625007152557373,
HUIZ,EXIT18,pos,4,3.329729,4.301709,3,0.75,0.30063605244263664,-0.43349897191802844,,,,,1.5999984741210938,
HUIZ,EXIT21,neg,3,-3.571427,-4.761899,0,0.0,0.0,-7.135651899576613,,,,,1.5625007152557373,
HUIZ,EXIT21,pos,2,4.2259483,4.2259483,2,1.0,0.3423719528896193,-2.463415985107421,,,,,1.5999984741210938,
HUIZ,PRINT,neg,5,5.6249084,6.8631573,4,0.8,0.37552826411853885,-0.052660764747789024,,,,,1.5625007152557373,
HUIZ,PRINT,pos,4,17.593468,12.906455,4,1.0,0.5100999795960008,1.176494027293142,,,,,1.5999984741210938,
HUM,EXIT04,neg,3,3.9673867,3.4594593,3,1.0,0.4384939195509822,2.7454402574845256,,,,,0.4104522466659546,
HUM,EXIT04,pos,1,6.4225526,6.4225526,1,1.0,0.20654329147389294,,,,,,0.30872934205191477,
HUM,EXIT07,neg,2,4.779191,4.779191,2,1.0,0.3423719528896193,3.202355394363403,,,,,0.4104522466659546,
HUM,EXIT07,pos,3,3.7661726,1.1394323,3,1.0,0.4384939195509822,-1.9021243318857746,,,,,0.30872934205191477,
HUM,EXIT18,neg,2,-0.68506515,-0.68506515,0,0.0,0.0,-0.9289615619182586,,,,,0.4104522466659546,
HUM,EXIT21,pos,3,0.10651207,-0.0025115013,1,0.3333333333333333,0.061490315276160515,-0.28782276002350343,,,,,0.30872934205191477,
HUM,PRINT,neg,14,2.4343486,2.3022923,14,1.0,0.7846829880728186,1.56838627206756,0.5,14.0,2.4343485832214355,1.0,0.4104522466659546,
HUM,PRINT,pos,21,2.1464283,1.8154601,18,0.8571428571428571,0.6536350585077049,1.1620314756033272,0.5,21.0,2.146428346633911,0.8571428571428571,0.30872934205191477,
HUMA,EXIT04,neg,25,7.772193,6.6689224,24,0.96,0.8045552759497747,4.786742945917762,0.5,25.0,7.772192478179932,0.96,0.9351846277713776,
HUMA,EXIT04,pos,18,5.1690545,3.7043686,17,0.9444444444444444,0.7424220019799247,2.1765917289567764,0.5,18.0,5.169054985046387,0.9444444444444444,2.4131362438201904,
HUMA,EXIT07,neg,23,8.091047,7.32183,22,0.9565217391304348,0.7900841350594088,4.795373850150135,0.5,23.0,8.091046333312988,0.9565217391304348,0.9351846277713776,
HUMA,EXIT07,pos,16,6.3590693,4.336751,15,0.9375,0.7167073163197013,2.9126769382562325,0.5,16.0,6.359068870544434,0.9375,2.4131362438201904,
HUMA,EXIT18,neg,29,1.5195298,1.3888985,23,0.7931034482758621,0.6160955339174229,0.39153247188098095,0.5,29.0,1.5195298194885254,0.7931034482758621,0.9351846277713776,
HUMA,EXIT18,pos,20,-0.5658638,-0.23665142,9,0.45,0.25819502085709295,-1.2780444992381124,,,,,2.4131362438201904,
HUMA,EXIT21,neg,4,2.2492952,1.8686843,4,1.0,0.5100999795960008,0.412421963011923,,,,,0.9351846277713776,
HUMA,EXIT21,pos,4,-1.0779415,-0.46210736,2,0.5,0.15003570882017145,-3.4096322412703493,,,,,2.4131362438201904,
HUMA,PRINT,neg,27,5.9324765,5.0023017,25,0.9259259259259259,0.7663002270926939,2.8288459580664456,0.5,27.0,5.932476043701172,0.9259259259259259,0.9351846277713776,
HUMA,PRINT,pos,20,6.5551634,4.1030283,20,1.0,0.8388698745050667,3.5042072921026683,0.5,20.0,6.555163383483887,1.0,2.4131362438201904,
HUMN,EXIT04,neg,9,1.4391261,1.4443258,8,0.8888888888888888,0.5649937852319398,0.4569849113903983,0.5,9.0,1.4391261339187622,0.8888888888888888,1.317298173904419,
HUMN,EXIT04,pos,12,2.020973,1.6266541,9,0.75,0.4676896608793401,0.6307039110214829,0.5,12.0,2.020972967147827,0.75,0.5424951612949371,
HUMN,EXIT07,neg,9,1.8854606,1.66768,8,0.8888888888888888,0.5649937852319398,0.7544071621400086,0.5,9.0,1.8854604959487915,0.8888888888888888,1.317298173904419,
HUMN,EXIT07,pos,9,2.4707267,1.3792775,8,0.8888888888888888,0.5649937852319398,0.9671851379487397,0.5,9.0,2.47072696685791,0.8888888888888888,0.5424951612949371,
