ticker,bench,events_total,days_with_entry,advanced_events_total,stack_10m_best_long_rate,stack_10m_best_long_total,stack_10m_best_long_lo,stack_10m_best_long_hi,stack_10m_best_long_avg_move,stack_10m_best_short_rate,stack_10m_best_short_total,stack_10m_best_short_lo,stack_10m_best_short_hi,stack_10m_best_short_avg_move,stack_30m_best_long_rate,stack_30m_best_long_total,stack_30m_best_long_lo,stack_30m_best_long_hi,stack_30m_best_long_avg_move,stack_30m_best_short_rate,stack_30m_best_short_total,stack_30m_best_short_lo,stack_30m_best_short_hi,stack_30m_best_short_avg_move,devsig_10m_best_long_rate,devsig_10m_best_long_total,devsig_10m_best_long_lo,devsig_10m_best_long_hi,devsig_10m_best_long_avg_move,devsig_10m_best_short_rate,devsig_10m_best_short_total,devsig_10m_best_short_lo,devsig_10m_best_short_hi,devsig_10m_best_short_avg_move,devsig_30m_best_long_rate,devsig_30m_best_long_total,devsig_30m_best_long_lo,devsig_30m_best_long_hi,devsig_30m_best_long_avg_move,devsig_30m_best_short_rate,devsig_30m_best_short_total,devsig_30m_best_short_lo,devsig_30m_best_short_hi,devsig_30m_best_short_avg_move,bench_10m_best_long_rate,bench_10m_best_long_total,bench_10m_best_long_lo,bench_10m_best_long_hi,bench_10m_best_long_avg_move,bench_10m_best_short_rate,bench_10m_best_short_total,bench_10m_best_short_lo,bench_10m_best_short_hi,bench_10m_best_short_avg_move,bench_30m_best_long_rate,bench_30m_best_long_total,bench_30m_best_long_lo,bench_30m_best_long_hi,bench_30m_best_long_avg_move,bench_30m_best_short_rate,bench_30m_best_short_total,bench_30m_best_short_lo,bench_30m_best_short_hi,bench_30m_best_short_avg_move,adv_stack_10m_best_long_rate,adv_stack_10m_best_long_total,adv_stack_10m_best_long_lo,adv_stack_10m_best_long_hi,adv_stack_10m_best_long_avg_move,adv_stack_10m_best_short_rate,adv_stack_10m_best_short_total,adv_stack_10m_best_short_lo,adv_stack_10m_best_short_hi,adv_stack_10m_best_short_avg_move,adv_stack_30m_best_long_rate,adv_stack_30m_best_long_total,adv_stack_30m_best_long_lo,adv_stack_30m_best_long_hi,adv_stack_30m_best_long_avg_move,adv_stack_30m_best_short_rate,adv_stack_30m_best_short_total,adv_stack_30m_best_short_lo,adv_stack_30m_best_short_hi,adv_stack_30m_best_short_avg_move,adv_devsig_10m_best_long_rate,adv_devsig_10m_best_long_total,adv_devsig_10m_best_long_lo,adv_devsig_10m_best_long_hi,adv_devsig_10m_best_long_avg_move,adv_devsig_10m_best_short_rate,adv_devsig_10m_best_short_total,adv_devsig_10m_best_short_lo,adv_devsig_10m_best_short_hi,adv_devsig_10m_best_short_avg_move,adv_devsig_30m_best_long_rate,adv_devsig_30m_best_long_total,adv_devsig_30m_best_long_lo,adv_devsig_30m_best_long_hi,adv_devsig_30m_best_long_avg_move,adv_devsig_30m_best_short_rate,adv_devsig_30m_best_short_total,adv_devsig_30m_best_short_lo,adv_devsig_30m_best_short_hi,adv_devsig_30m_best_short_avg_move,adv_bench_10m_best_long_rate,adv_bench_10m_best_long_total,adv_bench_10m_best_long_lo,adv_bench_10m_best_long_hi,adv_bench_10m_best_long_avg_move,adv_bench_10m_best_short_rate,adv_bench_10m_best_short_total,adv_bench_10m_best_short_lo,adv_bench_10m_best_short_hi,adv_bench_10m_best_short_avg_move,adv_bench_30m_best_long_rate,adv_bench_30m_best_long_total,adv_bench_30m_best_long_lo,adv_bench_30m_best_long_hi,adv_bench_30m_best_long_avg_move,adv_bench_30m_best_short_rate,adv_bench_30m_best_short_total,adv_bench_30m_best_short_lo,adv_bench_30m_best_short_hi,adv_bench_30m_best_short_avg_move,corr,beta
MLYS,XBI,18,19,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6818,22,-4.0,-3.0,0.2013,0.64,25,0.0,0.0,-0.6288,0.625,24,-2.0,-2.0,0.776,0.6264,91,-1.0,1.0,-0.6096,,,,,,,,,,,,,,,,,,,,,0.6444,45,0.0,0.0,0.3645,0.6552,29,2.0,3.0,-0.3984,,,,,,0.6842,19,2.0,2.0,-0.3708,0.7989,0.9765
MMM,XLI,16,16,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7692,13,2.0,2.0,-0.176,0.6154,13,-3.0,-3.0,0.2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6087,46,1.0,1.0,-0.1886,,,,,,,,,,,0.7851,0.86
MNDY,IGV,34,34,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7188,32,-5.0,-4.0,0.3157,,,,,,0.7895,19,-4.0,-4.0,0.5933,0.619,21,3.0,4.0,-0.8846,,,,,,,,,,,,,,,,,,,,,0.625,24,-2.0,-2.0,0.3153,,,,,,0.6154,26,1.0,1.0,0.7169,0.6,10,3.0,3.0,-0.32,0.8816,1.8241
MNKD,XBI,27,27,243,,,,,,0.75,12,0.0,0.0,-0.9078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7083,48,1.0,2.0,-0.425,,,,,,0.6667,69,1.0,3.0,-0.7404,,,,,,,,,,,,,,,,,,,,,,,,,,0.6387,155,-2.0,1.0,-0.4056,,,,,,0.7742,31,-3.0,-2.0,-0.6942,0.7309,0.7835
MNRO,XRT,13,14,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6296,27,-1.0,-1.0,-0.2206,0.7,10,3.0,3.0,0.5157,0.6667,24,1.0,2.0,-0.8531,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,13,2.0,2.0,-0.5089,0.6429,14,-2.0,-2.0,0.4844,0.7174,46,-1.0,-1.0,-0.54,0.5341,1.2471
MNSO,SPY,22,24,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,0.0,0.0,-1.0533,0.625,16,-4.0,-4.0,0.261,0.6875,48,-2.0,-1.0,-0.2373,0.6429,14,-4.0,-4.0,0.3589,0.6769,65,-3.0,-1.0,-0.2686,,,,,,,,,,,,,,,,,,,,,,,,,,0.7273,11,1.0,1.0,-0.1762,,,,,,0.64,50,-1.0,-1.0,-0.2831,0.2837,0.8164
MNST,XLP,31,31,247,,,,,,0.6111,18,0.0,0.0,-0.9309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6143,70,-2.0,-1.0,-0.1353,,,,,,0.6,50,-1.0,-1.0,-0.2157,,,,,,,,,,,,,,,,,,,,,,,,,,0.6176,68,0.0,0.0,-0.1298,,,,,,,,,,,0.5861,0.5316
MNTN,KWEB,20,22,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,10,4.0,4.0,0.5538,0.6296,27,-1.0,-1.0,-0.3747,0.75,12,-3.0,-3.0,0.6322,0.7727,22,-1.0,-1.0,-0.4841,,,,,,,,,,,,,,,,,,,,,0.6667,12,2.0,2.0,0.485,0.7105,38,-1.0,-1.0,-0.2944,0.6364,11,3.0,3.0,0.4843,,,,,,0.0772,0.068
MNTS,SPY,40,40,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,21,0.0,0.0,-4.7587,,,,,,0.6667,21,0.0,0.0,-5.7321,0.7619,21,-15.0,-15.0,1.1706,0.75,16,-1.0,-1.0,-1.08,0.6607,56,15.0,15.0,5.5557,0.7097,31,-2.0,-1.0,-2.0082,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,14,-2.0,-2.0,-0.445,,,,,,,,,,,0.2918,2.8296
MO,XLP,40,40,287,0.6667,21,-1.0,-1.0,0.5057,,,,,,0.7143,14,0.0,0.0,0.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,100,0.0,0.0,-0.147,,,,,,0.7045,44,-3.0,-2.0,-0.2977,,,,,,,,,,,,,,,,,,,,,,,,,,0.6027,73,0.0,0.0,-0.1348,,,,,,0.6,70,0.0,0.0,-0.2343,0.5598,0.5743
MOB,IWM,10,15,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,15,0.0,0.0,1.311,,,,,,0.6429,14,0.0,0.0,1.2456,,,,,,0.7455,1.8053
MOBX,IWM,31,37,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-1.0,-1.0,2.3133,,,,,,,,,,,0.6923,13,0.0,0.0,-4.5089,0.7,10,-5.0,-5.0,1.6043,0.7857,14,-2.0,-2.0,-0.81,,,,,,0.7143,14,-4.0,-4.0,-1.012,,,,,,,,,,,,,,,,,,,,,0.6,10,-3.0,-3.0,0.74,0.6286,70,-2.0,-1.0,-0.7936,,,,,,0.625,40,-1.0,-1.0,-1.2304,0.4156,1.3485
MOD,QQQ,18,18,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,14,1.0,1.0,0.515,0.6176,34,-7.0,-5.0,-0.3181,0.7647,17,-1.0,-1.0,0.6523,0.6,10,-5.0,-5.0,-1.2967,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-3.0,-3.0,-0.5333,,,,,,,,,,,0.7522,1.8407
MOH,IHF,11,11,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,21,2.0,3.0,0.2414,0.6667,12,1.0,1.0,-0.4788,0.6364,11,-4.0,-4.0,0.1986,0.6154,13,1.0,1.0,-0.415,,,,,,,,,,,,,,,,,,,,,0.6923,13,1.0,1.0,0.19,,,,,,0.625,40,0.0,1.0,0.5664,,,,,,0.6665,0.9487
MORT,IWM,11,11,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6528,72,-1.0,1.0,-0.1123,,,,,,0.6562,32,-1.0,-1.0,-0.1805,,,,,,,,,,,,,,,,,,,,,,,,,,0.6447,76,-2.0,1.0,-0.1022,,,,,,0.6429,14,-2.0,-2.0,-0.1333,0.6829,0.3711
MOS,XLB,35,35,256,,,,,,,,,,,,,,,,0.6429,14,-1.0,-1.0,-1.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,30,-2.0,-2.0,0.304,0.75,20,3.0,3.0,-0.3773,,,,,,0.6,40,2.0,3.0,-0.3296,,,,,,,,,,,,,,,,,,,,,0.6818,22,-3.0,-3.0,0.2353,0.6364,66,-1.0,-1.0,-0.2112,0.65,20,-3.0,-3.0,0.4538,0.6364,44,1.0,1.0,-0.3054,0.6319,0.8846
MP,IWM,40,40,385,,,,,,0.7,10,-1.0,-1.0,-1.8071,,,,,,0.6,10,-1.0,-1.0,-2.5617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,20,0.0,0.0,-2.155,0.6,25,3.0,3.0,0.516,0.68,25,-4.0,-4.0,-0.2435,0.6364,22,3.0,3.0,0.665,0.6154,39,-2.0,-2.0,-0.425,,,,,,,,,,,,,,,,,,,,,,,,,,0.6053,38,-3.0,-2.0,-0.37,,,,,,,,,,,0.4394,1.0165
MPC,XLE,23,23,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7179,39,1.0,1.0,0.1521,,,,,,0.6098,41,1.0,1.0,0.3244,,,,,,,,,,,,,,,,,,,,,,,,,,0.6522,46,-3.0,-2.0,0.2003,,,,,,0.6429,14,2.0,2.0,0.2033,,,,,,0.8338,1.1151
MPG,QQQ,13,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,2.0558
MPLX,XLE,16,17,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7037,27,1.0,1.0,-0.2079,0.6,15,-2.0,-2.0,0.3322,0.6071,28,1.0,1.0,-0.2771,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,18,2.0,2.0,-0.1533,,,,,,0.6471,17,2.0,2.0,-0.1236,0.593,0.2588
MPT,VNQ,33,33,239,,,,,,0.6111,18,0.0,0.0,-0.8282,,,,,,0.6471,17,0.0,0.0,-0.8918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,142,-1.0,0.0,-0.1625,,,,,,0.6716,67,0.0,0.0,-0.246,,,,,,,,,,,,,,,,,,,,,,,,,,0.6959,194,-2.0,0.0,-0.1499,,,,,,0.6119,134,0.0,1.0,-0.2843,0.452,0.4946
MPWR,SOXX,39,39,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6962,79,1.0,5.0,0.3715,,,,,,0.6226,53,3.0,5.0,0.5461,0.6923,13,-5.0,-5.0,-0.4633,,,,,,,,,,,,,,,,,,,,,0.6892,148,-1.0,4.0,0.3875,0.6,20,-2.0,-2.0,-0.5358,0.75,24,2.0,2.0,0.5144,0.6667,54,-5.0,-3.0,-0.4661,0.9679,0.9961
MQ,XLF,16,16,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7188,96,-3.0,0.0,-0.2749,,,,,,0.7551,49,-4.0,-2.0,-0.2959,,,,,,,,,,,,,,,,,,,,,,,,,,0.644,191,-1.0,1.0,-0.3093,,,,,,0.6574,108,0.0,0.0,-0.5072,0.3886,0.7441
MRAL,QQQ,15,24,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,1.0,1.0,1.2886,,,,,,,,,,,0.6522,23,-1.0,0.0,-2.4113,0.7468,4.1978
MRAM,DRAM,39,39,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7692,13,-10.0,-10.0,1.224,0.6429,14,4.0,4.0,-0.7256,0.6667,15,-10.0,-10.0,1.934,0.6429,14,4.0,4.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8507,0.6199
MREO,IBB,29,35,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,21,-1.0,0.0,0.9067,0.6,15,1.0,1.0,-0.8511,0.75,16,-2.0,-2.0,1.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-2.0,-2.0,-0.7217,0.6515,66,0.0,1.0,1.7788,,,,,,0.2073,0.7352
MRK,IBB,34,34,259,,,,,,0.7273,11,-1.0,-1.0,-1.1187,,,,,,0.8182,11,-1.0,-1.0,-1.2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6154,26,2.0,2.0,0.1188,0.6047,43,1.0,1.0,-0.1354,0.6667,15,-3.0,-3.0,0.225,,,,,,0.4277,0.4798
MRLN,SPY,40,40,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7059,34,-1.0,0.0,-3.4788,,,,,,0.7429,35,-1.0,0.0,-4.4869,0.7143,21,-10.0,-9.0,0.58,0.75,20,0.0,0.0,-0.8887,0.8095,21,2.0,3.0,1.3229,0.7368,38,-1.0,0.0,-1.0843,,,,,,,,,,,,,,,,,,,,,0.6,10,-2.0,-2.0,1.6217,0.6154,13,1.0,1.0,-0.9137,0.6,10,-2.0,-2.0,2.6683,0.6,15,1.0,1.0,-0.8656,0.51,1.979
MRNA,XBI,40,40,322,,,,,,,,,,,0.6923,13,0.0,0.0,2.2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6154,13,-4.0,-4.0,0.6025,0.6522,46,-3.0,-2.0,-0.3677,0.6129,31,2.0,2.0,0.8111,0.7,20,-2.0,-2.0,-0.4829,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,13,-3.0,-3.0,-0.3989,0.6667,15,-4.0,-4.0,0.705,0.7143,14,-3.0,-3.0,-0.503,0.704,1.076
MRNO,VNQ,14,32,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6522,23,15.0,15.0,-7.2507,,,,,,0.6667,12,-15.0,-15.0,-3.3888,,,,,,,,,,,,,,,,,,,,,,,,,,0.6471,34,-1.0,0.0,-1.4755,0.6,10,-2.0,-2.0,19.5833,,,,,,0.1319,1.1345
MRNY,IWM,17,24,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,26,-1.0,0.0,-0.5994,0.5824,0.7094
MRP,IWM,10,10,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-3.0,-3.0,0.1717,0.6452,31,1.0,1.0,-0.1075,,,,,,0.6522,23,-2.0,-2.0,-0.238,,,,,,,,,,,,,,,,,,,,,0.6471,17,-2.0,-2.0,0.1755,0.625,72,0.0,0.0,-0.1533,0.6667,18,-2.0,-2.0,0.2267,,,,,,0.6513,0.5725
MRVI,XBI,12,12,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6087,23,0.0,0.0,0.3657,0.6418,67,-2.0,-1.0,-0.3467,0.625,24,-4.0,-3.0,0.61,0.7037,27,-2.0,-2.0,-0.5789,,,,,,,,,,,,,,,,,,,,,0.625,24,-4.0,-3.0,0.294,0.6471,34,-1.0,-1.0,-0.3745,0.6304,46,0.0,0.0,0.6338,0.6316,19,2.0,2.0,-0.4733,0.587,0.5859
MRVL,SOXX,40,40,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6304,92,4.0,5.0,0.4128,0.75,24,-6.0,-6.0,-0.5161,0.7273,44,5.0,5.0,0.6175,0.6047,43,-2.0,-2.0,-0.7673,,,,,,,,,,,,,,,,,,,,,0.6311,103,3.0,4.0,0.4535,0.6415,53,-3.0,-3.0,-0.3788,0.6078,102,3.0,4.0,0.6913,0.6154,26,-5.0,-5.0,-0.6081,0.9221,1.3119
MRVU,QQQ,32,36,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,0.0,0.0,-6.1113,,,,,,0.6923,13,0.0,0.0,-7.6433,0.6957,23,15.0,15.0,1.6287,0.6,15,-15.0,-15.0,-1.5289,0.7273,22,15.0,15.0,2.4219,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,40,0.0,0.0,1.3021,,,,,,,,,,,0.6,10,-2.0,-2.0,-1.6383,0.9033,7.415
MS,SPY,37,37,249,0.625,16,0.0,0.0,0.826,0.6,10,-1.0,-1.0,-0.8983,0.6538,26,-1.0,0.0,0.9559,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,20,0.0,0.0,0.825,0.6154,13,-1.0,-1.0,-0.9788,0.8,20,0.0,0.0,1.0875,0.6154,13,-1.0,-1.0,-0.88,,,,,,0.6066,61,0.0,0.0,-0.163,0.6136,44,2.0,3.0,0.2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,10,-2.0,-2.0,-0.23,0.6087,92,-1.0,-1.0,0.3086,0.6364,11,-2.0,-2.0,-0.3271,0.6918,1.2073
MSBT,IWM,27,32,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7273,11,0.0,0.0,-0.4088,,,,,,,,,,,0.6,10,0.0,0.0,0.2033,0.6364,22,-3.0,-3.0,-0.1664,0.6364,11,0.0,0.0,0.2871,0.75,20,-2.0,-1.0,-0.3073,,,,,,,,,,,,,,,,,,,,,,,,,,0.6774,31,-1.0,-1.0,-0.2119,,,,,,0.6,10,-2.0,-2.0,-0.4833,0.5539,1.4357
MSFD,QQQ,36,38,159,0.6154,13,0.0,0.0,0.8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6154,13,0.0,0.0,-0.6525,,,,,,,,,,,0.7222,18,1.0,1.0,0.2469,0.6667,30,0.0,0.0,-0.189,0.6364,11,-1.0,-1.0,0.2929,0.7273,11,2.0,2.0,-0.1813,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,16,-2.0,-2.0,-0.192,,,,,,0.65,20,1.0,1.0,-0.2554,0.4455,0.459
MSFL,SPY,40,40,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429,14,-1.0,-1.0,-1.26,,,,,,,,,,,0.7273,11,7.0,7.0,0.2525,0.6923,39,-6.0,-4.0,-0.3152,0.625,32,1.0,2.0,0.768,0.6129,31,-5.0,-4.0,-0.4505,,,,,,,,,,,,,,,,,,,,,,,,,,0.6316,19,1.0,1.0,-0.4275,,,,,,0.65,20,1.0,1.0,-0.4569,-0.1969,-0.803
MSFT,IGV,40,40,794,,,,,,0.7143,14,-1.0,-1.0,-0.837,,,,,,0.7143,14,-1.0,-1.0,-0.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,35,3.0,3.0,0.141,0.6667,36,-3.0,-3.0,-0.1721,0.6667,27,-4.0,-4.0,0.2483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,21,-3.0,-3.0,-0.1146,,,,,,0.7,10,-5.0,-5.0,-0.2,0.7711,0.7875
MSFU,SPY,40,40,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429,14,-1.0,-1.0,-1.1967,,,,,,,,,,,0.8333,12,7.0,7.0,0.215,0.6364,44,1.0,1.0,-0.2693,0.6429,14,-6.0,-6.0,0.5333,0.7333,15,-5.0,-5.0,-0.4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,28,-2.0,-2.0,-0.318,-0.22,-0.8869
MSFX,SPY,32,38,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7083,24,-1.0,-1.0,0.6624,,,,,,-0.1681,-0.6756
MSGY,SPY,12,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,0.0,0.0,-0.54,,,,,,0.64,25,-1.0,0.0,-2.775,0.1266,0.6121
MSOS,SPY,40,40,268,,,,,,0.7727,22,0.0,0.0,-0.9153,,,,,,0.7826,23,0.0,0.0,-1.1483,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,21,0.0,0.0,-1.1367,,,,,,0.8095,21,0.0,0.0,-1.0853,0.7,10,4.0,4.0,0.3129,0.6667,12,-4.0,-4.0,-0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6154,13,1.0,1.0,-0.4725,,,,,,0.617,94,-1.0,-1.0,-0.5938,0.6618,0.9176
MSOX,SPY,35,37,221,,,,,,0.6364,11,0.0,0.0,-1.8186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,16,0.0,0.0,-2.9633,,,,,,0.8333,12,0.0,0.0,-2.839,0.7,10,-1.0,-1.0,0.7843,0.6,10,-7.0,-7.0,-0.7867,0.6429,14,-1.0,-1.0,1.4067,0.6667,12,1.0,1.0,-1.3225,,,,,,,,,,,,,,,,,,,,,0.8,10,1.0,1.0,0.69,,,,,,,,,,,,,,,,0.7044,2.082
MSS,XLP,21,28,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,21,-2.0,-1.0,-1.2257,0.6364,11,-1.0,-1.0,13.6857,,,,,,0.0275,0.117
MST,SPY,16,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,13,0.0,0.0,-2.4411,,,,,,,,,,,0.4796,4.6637
MSTR,IWM,40,40,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,-9.0,-9.0,0.6629,0.6279,43,-6.0,-5.0,-0.2781,0.6,55,-2.0,-2.0,0.6476,0.6164,73,1.0,1.0,-0.6562,,,,,,,,,,,,,,,,,,,,,0.6,10,2.0,2.0,0.1383,0.6154,39,-2.0,-2.0,-0.3675,,,,,,0.6364,11,-3.0,-3.0,-0.7671,0.4386,1.8022
MSTU,IWM,40,40,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,11,5.0,5.0,0.5614,0.6535,101,0.0,1.0,-0.5903,0.6,10,10.0,10.0,1.0567,0.6721,61,3.0,4.0,-1.3256,,,,,,,,,,,,,,,,,,,,,,,,,,0.6074,568,-2.0,1.0,-0.6739,,,,,,0.6062,325,0.0,2.0,-1.191,0.4395,3.5319
MSTW,IWM,35,39,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,-1.0,-1.0,-2.2125,,,,,,0.625,16,0.0,0.0,-3.696,0.6,10,-10.0,-10.0,1.2167,0.625,32,-1.0,0.0,-0.385,0.6,10,-10.0,-10.0,1.2517,0.6774,31,-1.0,0.0,-1.0048,,,,,,,,,,,,,,,,,,,,,,,,,,0.6538,26,1.0,1.0,-0.5994,,,,,,0.6667,60,-2.0,-1.0,-0.7775,0.474,2.3446
MSTX,IWM,40,40,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6071,28,-1.0,-1.0,0.6512,0.7209,43,-6.0,-5.0,-0.7394,0.8,10,10.0,10.0,1.4287,0.75,20,15.0,15.0,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,30,-2.0,-2.0,-0.8628,,,,,,0.6,10,-3.0,-3.0,-1.6167,0.4463,3.6498
